"V160001","V160101","V160201","V160202","V161003","V161009","V161010d","V161010e","V161011","V161014","V161015a","V161015b","V161015c","V161015d","V161015e","V161017","V161019","V161020","V161021","V161021a","V161023","V161024x","V161026","V161027","V161028","V161030","V161031","V161032","V161033","V161034","V161035","V161036","V161037","V161038","V161039","V161040","V161041","V161042","V161043","V161044","V161045x","V161046","V161047","V161048","V161049","V161050","V161051","V161052","V161053","V161054","V161055","V161056","V161057","V161058","V161059","V161060","V161061","V161062","V161063","V161064x","V161065x","V161066x","V161067x","V161080","V161080x","V161086","V161087","V161095","V161096","V161132","V161133","V161134a","V161134b","V161135a","V161135b","V161145","V161146","V161147","V161148","V161149","V161150a","V161150b","V161151a","V161151b","V161151x","V161155","V161156","V161157","V161158x","V161136","V161267","V161267x","V161310x","V162031","V162031x","V162034","V162034a","V162046","V161220","V161264x","V161265x","V161270","V161330","V161331a","V161331b","V161331x","V161339","V161340","V161341"
4693,0.8438,8,2,4,4,9,"CT",1,-1,1,9,1,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,20,-1,1,2,30,60,30,60,10,1,50,50,50,50,2,8,1,1,1,-1,2,1,-1,1,3,-1,2,4,2,42,6,1,4,1,1,2,1,3,400,4,14,9,3,2,3,1,1,-1
4694,0.8342,9,1,2,2,6,"CA",1,-1,1,6,1,0,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,2,4,29,17,42,39,20,-1,-1,-1,-1,-1,2,1,2,1,2,1,-1,2,-1,2,3,-1,2,4,2,45,7,3,4,1,1,2,2,2,99,5,11,59,7,2,7,1,1,-1
4695,0.3084,9,2,2,1,12,"FL",1,-1,1,12,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-8,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,21,-1,2,4,0,85,0,70,10,2,49,51,49,51,1,2,1,2,1,-1,1,-1,2,6,2,1,-1,7,2,68,11,1,4,1,1,2,1,3,270,1,13,59,19,1,19,1,1,-1
4696,2.57,10,2,4,4,13,"GA",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,10,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,2,3,70,0,100,0,10,4,9,9,9,8,1,1,1,2,2,2,-1,-1,2,6,1,2,-1,2,3,43,6,5,-6,-2,-6,-6,-6,1,400,4,9,48,9,0,9,1,2,-1
4697,1.0158,12,1,3,3,47,"TN",1,-1,1,47,0,0,0,3,-1,-1,1,5,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,0,60,40,60,20,-1,-1,-1,-1,-1,2,2,1,2,2,3,-1,-1,-1,4,5,-1,1,5,3,35,5,1,-6,-2,-6,-6,-6,3,10,5,11,47,20,0,20,1,2,-1
4698,0.8149,13,2,4,4,5,"AR",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,10,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,2,3,0,50,50,50,20,-1,-1,-1,-1,-1,2,2,1,2,2,-1,1,-1,1,7,3,-1,2,4,2,20,1,5,1,0,-1,-1,-1,3,10,5,10,5,9,6,9,1,1,-1
4699,1.5243,15,1,2,3,37,"NC",1,-1,1,37,1,1,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,31,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,21,21,21,21,2,4,30,70,50,70,20,-1,-1,-1,-1,-1,2,2,1,1,1,2,-1,-1,2,6,1,2,-1,2,2,48,7,1,4,1,1,2,1,2,135,2,10,37,40,0,40,1,2,-1
4700,0.7365,15,2,4,3,30,"MT",1,-1,1,30,0,1,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,21,21,-1,21,2,4,0,60,15,60,10,1,45,45,80,20,2,2,1,1,1,2,-1,-1,2,6,3,-1,1,5,2,40,6,1,4,1,1,2,-1,3,149,2,10,47,1,3,1,1,2,-1
4701,0.3852,19,1,1,1,21,"KY",2,-1,1,21,1,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,4,0,60,0,61,20,-1,-1,-1,-1,-1,2,2,2,2,2,1,-1,2,-1,2,3,-1,1,5,1,64,10,1,4,1,1,2,1,1,292,2,12,21,25,11,26,1,2,-1
4702,0.8211,20,1,3,3,10,"DE",1,-1,1,10,0,1,1,3,1,-1,1,2,1,4,1,5,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,2,4,85,0,85,0,21,-1,-1,-1,-1,-1,5,1,2,1,2,-1,3,-1,-1,4,1,1,-1,1,3,47,7,2,-1,1,-1,-1,-1,1,121,1,8,36,16,0,16,2,2,1
4703,0.7259,20,2,2,3,34,"NJ",1,-1,1,34,0,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,100,0,85,40,10,1,60,40,60,40,1,1,1,1,2,-1,2,1,-1,1,1,2,-1,2,2,66,11,1,4,1,1,1,-1,1,230,1,14,9,40,0,40,1,1,-1
4704,0.6254,21,1,1,1,24,"MD",1,-1,1,24,1,0,1,2,2,-1,1,7,-1,3,-1,-1,-1,1,-9,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,2,4,16,71,10,60,20,-1,-1,-1,-1,-1,1,2,2,1,1,-1,2,2,-1,2,2,1,-1,7,2,60,10,1,4,1,1,2,1,2,10,5,13,12,2,5,2,1,1,-1
4705,1.6214,22,1,3,2,39,"OH",1,-1,1,39,1,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,20,-1,2,4,0,87,19,82,20,-1,-1,-1,-1,-1,2,2,1,2,1,-1,2,1,-1,1,3,-1,1,5,3,28,3,1,2,0,-1,-1,-1,1,880,8,11,39,1,8,2,1,2,-1
4706,0.4276,23,1,2,2,55,"WI",1,-1,1,55,1,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1,-1,1,2,50,30,60,50,10,3,52,48,50,50,4,1,1,1,1,-1,3,-1,-1,4,3,-1,2,4,3,30,4,3,4,1,1,1,1,2,880,8,13,55,0,10,1,1,1,-1
4707,0.4735,24,2,1,1,22,"LA",1,-1,1,22,1,0,1,2,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,2,15,85,40,70,20,-1,-1,-1,-1,-1,1,2,1,2,2,2,-1,-1,1,7,2,1,-1,7,3,56,9,6,4,1,1,2,1,3,400,4,10,22,40,0,40,1,2,-1
4708,0.8864,26,2,4,4,39,"OH",1,-1,1,39,1,0,0,2,-1,-1,1,6,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,21,-1,2,4,30,0,30,40,10,1,55,45,55,45,1,1,1,1,1,2,-1,-1,3,5,3,-1,1,5,2,43,6,1,4,1,1,1,1,3,880,8,15,39,40,0,40,1,2,-1
4709,1.328,27,2,2,2,36,"NY",1,-1,1,36,1,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,60,30,60,40,20,-1,-1,-1,-1,-1,3,1,1,1,2,1,-1,1,-1,1,1,2,-1,2,2,66,11,1,4,1,1,1,1,1,230,1,9,36,40,4,40,1,1,-1
4710,1.7955,29,1,1,1,36,"NY",1,-1,1,36,1,0,1,3,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-9,-1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,20,-1,1,2,100,0,100,0,10,1,80,20,90,10,2,1,1,1,2,1,-1,1,-1,1,1,1,-1,1,-9,79,13,5,4,1,1,1,2,2,400,4,10,36,40,0,40,1,2,-1
4711,1.1101,31,2,3,4,48,"TX",3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,2,3,85,0,90,5,20,-1,-1,-1,-1,-1,2,1,1,1,1,-1,2,3,-1,3,3,-1,3,3,2,29,3,5,-1,-2,-1,-1,-1,2,400,4,8,35,10,6,10,1,1,-1
4712,0.3582,32,1,2,2,26,"MI",1,-1,1,26,0,0,0,3,-1,-1,2,-1,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,-1,-1,2,3,30,2,51,16,10,1,45,55,50,50,3,2,1,2,1,1,-1,1,-1,1,3,-1,3,3,1,80,13,1,4,1,1,1,-1,1,230,1,10,26,22,5,22,1,2,-1
4713,0.6524,32,2,1,1,27,"MN",1,-1,1,27,0,0,0,3,-1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,70,0,70,30,10,1,55,43,60,40,1,1,1,1,2,-1,2,1,-1,1,1,1,-1,1,1,81,13,1,4,1,1,1,-1,1,220,1,16,27,8,3,8,1,1,-1
4714,0.6254,33,2,2,2,12,"FL",1,-1,1,12,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,2,3,30,-99,51,70,20,-1,-1,-1,-1,-1,2,2,2,2,1,-1,2,1,-1,1,2,1,-1,7,1,90,13,1,4,1,1,2,1,2,220,1,13,42,36,0,36,1,1,-1
4715,1.2741,34,1,3,3,6,"CA",1,-1,1,6,1,0,1,3,2,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,71,15,60,60,10,1,70,30,85,15,2,1,2,1,2,2,-1,-1,1,7,2,2,-1,6,2,58,9,3,-6,-2,-6,-6,-6,1,167,2,14,6,27,0,27,1,1,-1
4716,0.7614,34,2,2,3,13,"GA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,-1,-1,-1,2,3,40,50,60,60,20,-1,-1,-1,-1,-1,3,1,1,1,1,2,-1,-1,2,6,3,-1,2,4,3,64,10,1,-1,-2,-1,-1,-1,2,880,8,5,13,2,0,2,1,2,-1
4717,1.7673,37,1,1,1,12,"FL",1,-1,1,12,1,0,1,2,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,85,0,100,0,20,-1,-1,-1,-1,-1,1,1,1,1,1,-1,2,2,-1,2,1,1,-1,1,2,59,9,1,4,1,1,1,1,3,270,1,7,26,3,0,3,1,2,-1
4718,0.7268,37,2,1,2,53,"WA",1,-1,1,53,1,1,0,3,-1,-1,1,2,-1,3,-1,-1,-1,1,5,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,22,20,20,20,2,4,15,0,40,15,10,1,48,44,53,40,2,1,1,1,2,-1,2,1,-1,1,3,-1,3,3,-9,88,13,1,4,1,1,1,1,3,880,8,14,17,7,9,8,1,2,-1
4719,0.4649,39,1,3,4,6,"CA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,-1,1,2,70,30,85,50,10,5,62,38,80,20,4,1,2,1,2,2,-1,-1,1,7,1,2,-1,2,3,25,3,3,-1,-2,-1,-1,-1,1,400,4,13,6,25,7,26,1,1,-1
4720,1.4197,39,2,3,3,36,"NY",1,-1,1,36,1,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,1,4,2,-1,-1,-1,-1,-1,-1,1,3,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,22,21,-1,2,4,50,0,0,0,20,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,3,-1,2,4,2,42,6,2,4,1,1,1,1,2,720,7,10,17,11,4,11,1,2,-1
4721,0.9789,41,2,3,3,32,"NV",1,-1,1,32,1,0,1,2,4,-1,2,-1,-1,3,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,40,0,40,85,10,5,50,50,50,50,1,7,1,1,2,-1,2,2,-1,2,2,2,-1,6,2,53,8,5,4,1,1,2,1,1,880,8,11,32,5,3,5,1,1,-1
4722,0.3543,43,1,2,2,24,"MD",1,-1,1,24,1,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,4,85,0,87,30,20,-1,-1,-1,-1,-1,1,1,1,1,1,3,-1,-1,-1,4,1,1,-1,1,3,67,11,1,3,0,-1,-1,-1,1,230,1,12,24,30,0,30,2,2,2
4723,1.5712,44,1,2,1,48,"TX",1,-1,1,48,0,0,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,3,100,0,100,0,10,1,67,33,53,47,1,1,2,1,1,2,-1,-1,1,7,2,2,-1,6,2,67,11,5,4,1,1,1,-1,1,400,4,10,48,10,0,10,1,2,-1
4724,0.8742,44,2,3,3,6,"CA",1,-1,1,6,1,0,1,2,1,-1,1,1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,3,99,0,90,31,10,1,60,40,75,25,1,1,1,1,2,-1,2,1,-1,1,1,1,-1,1,2,70,12,1,4,1,1,1,1,2,721,7,14,6,3,2,3,1,1,-1
4725,1.3909,46,1,2,2,41,"OR",1,-1,1,41,1,1,1,1,1,-1,1,2,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,20,20,20,20,2,4,60,40,70,30,20,-1,-1,-1,-1,-1,1,1,1,1,2,1,-1,2,-1,2,1,1,-1,1,2,20,1,1,4,1,1,1,1,2,880,8,10,41,20,0,20,1,1,-1
4726,0.6823,47,2,3,3,13,"GA",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,30,94,35,85,20,-1,-1,-1,-1,-1,3,2,1,2,2,-1,2,2,-1,2,2,2,-1,6,3,25,3,1,-6,-2,-6,-6,-6,2,257,3,9,13,25,0,25,2,2,2
4727,0.3538,48,2,3,3,29,"MO",1,-1,1,29,1,1,0,1,-1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,31,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,20,20,20,21,1,2,85,0,100,0,10,1,60,40,30,70,1,1,1,2,2,-1,3,-1,-1,4,1,2,-1,2,3,26,3,1,2,0,-1,-1,-1,1,880,8,10,29,3,0,3,1,2,-1
4728,0.2723,53,1,3,3,42,"PA",1,-1,1,42,1,0,1,3,2,-1,1,4,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,20,-1,2,3,0,85,30,70,10,1,44,46,42,45,2,2,1,2,1,1,-1,2,-1,2,2,1,-1,7,1,60,10,1,4,1,1,2,1,3,230,1,13,42,10,0,10,1,1,-1
4729,0.8836,53,2,2,1,55,"WI",1,-1,1,55,1,0,0,1,-1,-1,1,4,-1,3,-1,-1,-1,1,1,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,1,1,50,40,81,51,10,1,60,40,50,40,3,1,2,1,2,-1,2,1,-1,1,1,1,-1,1,1,43,6,1,4,1,1,1,1,3,880,8,9,55,-9,-9,-9,2,2,1
4730,0.3785,54,2,4,4,6,"CA",2,-1,1,6,1,0,1,1,1,-1,1,2,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20,20,-1,1,2,39,40,59,50,20,-1,-1,-1,-1,-1,4,1,1,1,1,-1,1,-1,2,6,3,-1,3,3,2,32,4,1,4,1,1,2,1,2,149,2,12,6,0,1,1,1,1,-1
4731,1.693,55,1,1,2,8,"CO",2,-1,1,8,1,0,1,3,4,-1,2,-1,-1,3,-1,-1,-1,1,3,1,-1,-1,-1,-1,-1,-1,1,-1,2,-1,-1,-1,11,-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,-1,2,4,40,5,41,32,20,-1,-1,-1,-1,-1,1,2,1,1,2,1,-1,1,-1,1,5,-1,2,4,3,26,3,1,4,1,1,1,1,3,400,4,13,8,3,0,3,1,1,-1
4732,0.8112,55,2,2,4,4,"AZ",1,-1,1,4,1,0,1,3,2,-1,1,5,-1,3,-1,-1,-1,1,3,2,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,21,21,-1,1,2,6,17,22,59,10,1,68,32,40,60,2,1,2,2,2,2,-1,-1,2,6,5,-1,1,5,2,33,4,6,-6,-2,-6,-6,-6,2,301,7,11,4,11,0,11,1,1,-1
4733,0.9774,57,2,1,1,48,"TX",1,-1,1,48,0,0,0,2,-1,-1,1,5,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,-1,-1,2,4,0,70,0,70,20,-1,-1,-1,-1,-1,1,2,1,2,1,1,-1,1,-1,1,2,1,-1,7,1,61,10,1,4,1,1,2,-1,2,10,5,13,48,3,3,3,1,2,-1
4734,0.7783,59,1,4,3,48,"TX",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,1,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,2,4,16,50,40,30,20,-1,-1,-1,-1,-1,2,2,1,2,1,2,-1,-1,2,6,3,-1,3,3,2,65,11,1,-1,-2,-1,-1,-1,2,10,5,7,48,1,10,2,1,2,-1
4735,0.8574,60,1,3,3,48,"TX",1,-1,1,48,0,0,0,1,-1,-1,2,-1,1,4,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,-1,-1,-9,-2,70,0,85,30,11,-1,-4,-4,-4,-4,2,1,1,2,1,1,-1,2,-1,2,1,1,-1,1,1,19,1,5,-7,1,-7,-7,-7,2,889,-2,10,-9,-9,-9,-9,1,1,-1
4736,0.4994,62,2,4,4,25,"MA",1,-1,1,25,0,0,1,3,1,-1,1,2,-1,3,-1,-1,-1,1,6,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,0,70,85,0,10,1,48,52,80,20,3,1,1,1,2,-1,2,1,-1,1,1,1,-1,1,2,74,12,1,-6,-2,-6,-6,-6,1,400,4,9,59,7,0,7,1,2,-1
4737,0.998,63,2,3,3,12,"FL",1,-1,1,12,1,0,1,1,2,-1,1,7,-1,3,-1,-1,-1,1,2,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,1,2,0,85,0,100,20,-1,-1,-1,-1,-1,1,1,1,2,1,1,-1,2,-1,2,2,1,-1,7,2,46,7,1,4,1,1,2,1,1,150,1,13,42,1,2,1,1,1,-1
4738,1.7339,65,1,3,4,36,"NY",1,-1,1,36,1,0,1,1,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,5,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,22,20,-1,2,4,71,15,43,42,10,1,65,35,80,20,2,1,2,1,2,-1,2,2,-1,2,3,-1,3,3,2,40,6,5,4,1,1,1,1,2,400,4,11,36,5,0,5,2,1,-1
4739,0.3537,65,2,3,3,42,"PA",1,-1,1,42,1,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,11,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,20,-1,1,2,100,0,85,0,10,2,65,35,90,10,2,1,1,1,2,1,-1,1,-1,1,1,1,-1,1,2,63,10,1,1,0,-1,-1,-1,2,400,4,10,42,40,8,40,1,1,-1
4740,0.2745,67,1,1,1,25,"MA",1,-1,1,25,0,0,1,1,4,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,-1,-1,2,4,100,60,85,0,20,-1,-1,-1,-1,-1,1,1,1,1,2,-1,2,1,-1,1,1,1,-1,1,2,61,10,1,-6,-2,-6,-6,-6,1,400,4,13,59,12,0,12,1,1,-1
4741,0.3409,67,2,5,-1,9,"CT",3,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,10,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-2,50,50,50,50,10,5,-9,-9,-9,-9,5,-9,-9,-9,-9,-1,-9,-1,-1,-2,-9,-1,-9,-9,-9,-9,-2,-2,-6,-2,-6,-6,-6,-9,889,-2,-9,-9,-9,-9,-9,-9,-9,-9
4742,1.2351,68,2,2,2,22,"LA",1,-1,1,22,1,0,1,3,1,-1,2,-1,-1,3,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,11,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,20,-1,2,3,80,12,85,50,20,-1,-1,-1,-1,-1,1,1,1,2,2,-1,3,-1,-1,4,1,1,-1,1,3,35,5,6,4,1,1,1,1,2,135,2,11,22,35,0,35,1,2,-1
